KOD_SUKL;NAZEV;ATC_WHO
0000009;ACYLCOFFIN;N02BA51
0000113;DILURAN;S01EC01
0000168;HYDROCHLOROTHIAZID LÉČIVA;C03AA03
0000269;PREDNISON LÉČIVA;H02AB07
0000280;PYRIDOXIN LÉČIVA;A11HA02
0000362;ADRENALIN LÉČIVA;C01CA24
0000409;CALCIUM CHLORATUM BIOTIKA;B05XA07
0000489;KANAVIT;B02BA01
0000502;MESOCAIN;N01BB
0000536;NORADRENALIN LÉČIVA;C01CA03
0000569;MOXOSTAD;C02AC05
0000584;PYRIDOXIN LÉČIVA;A11HA02
0000591;MOXOSTAD;C02AC05
0000610;SYNTOPHYLLIN;R03DA05
0000612;SYNTOSTIGMIN;N07AA01
0000616;THIAMIN LÉČIVA;A11DA01
0000641;VITAMIN B12 LÉČIVA;B03BA01
0000643;VITAMIN B12 LÉČIVA;B03BA01
0000707;FUCIDIN H;D07CA01
0000766;MOXOSTAD;C02AC05
0000858;HYDROCORTISON LÉČIVA;D07AA02
0000876;OPHTHALMO-SEPTONEX;S01AX
0000884;MOXOSTAD;C02AC05
0000911;MOXOSTAD;C02AC05
0000943;MOXOSTAD;C02AC05
0000961;THÉ SALVAT;V11
0000965;SPECIES PECTORALES PLANTA;V11
0000966;SPECIES UROLOGICAE PLANTA;V11
0000967;TORMENTAN;V11
0000982;CARBOSORB;A07BA01
0000984;MOXOSTAD;C02AC05
0000992;MOXOSTAD;C02AC05
0001017;MOXOSTAD;C02AC05
0001066;FRAMYKOIN;D06AX
0001069;FUNGICIDIN LÉČIVA;D01AA01
0001076;OPHTHALMO-FRAMYKOIN;S01AA30
0001077;OPHTHALMO-FRAMYKOIN COMP.;S01AA20
0001125;MORPHIN BIOTIKA 1%;N02AA01
0001127;MORPHIN BIOTIKA 1%;N02AA01
0001182;ZAVEDOS;L01DB06
0001202;MOXOSTAD;C02AC05
0001237;MOXOSTAD;C02AC05
0001244;DIAPREL MR;A10BB09
0001247;MOXOSTAD;C02AC05
0001252;OMEGAVEN;B05BA02
0001255;AROMASIN;L02BG06
0001258;AROMASIN;L02BG06
0001259;AROMASIN;L02BG06
0001287;OMEGAVEN;B05BA02
0001290;DIAPREL MR;A10BB09
0001328;DOPEGYT;C02AB01
0001410;LINOLA-FETT;D02AC
0001411;LINOLA-FETT;D02AC
0001412;LINOLA FETT ÖLBAD;D02AC
0001420;LAMISIL;D01BA02
0001421;LAMISIL;D01BA02
0001426;PIRAMIL;C09AA05
0001435;PIRAMIL;C09AA05
0001439;PIRAMIL;C09AA05
0001452;OMEGAVEN;B05BA02
0001453;PIRAMIL;C09AA05
0001470;PIRAMIL;C09AA05
0001474;PIRAMIL;C09AA05
0001480;PIRAMIL;C09AA05
0001491;PIRAMIL;C09AA05
0001495;PIRAMIL;C09AA05
0001501;PIRAMIL;C09AA05
0001512;PIRAMIL;C09AA05
0001517;PIRAMIL;C09AA05
0001529;PIRAMIL;C09AA05
0001537;PIRAMIL;C09AA05
0001540;PIRAMIL;C09AA05
0001543;PIRAMIL;C09AA05
0001545;PIRAMIL;C09AA05
0001556;NEO-ANGIN BEZ CUKRU;R02AA03
0001575;PIRAMIL;C09AA05
0001580;PIRAMIL;C09AA05
0001585;PIRAMIL;C09AA05
0001586;PIRAMIL;C09AA05
0001588;PIRAMIL;C09AA05
0001605;PIRAMIL;C09AA05
0001621;PIRAMIL;C09AA05
0001622;LUTEINUM;V12
0001623;LUTEINUM;V12
0001624;LUTEINUM;V12
0001630;PURINOL;M04AA01
0001631;PURINOL;M04AA01
0001632;PURINOL;M04AA01
0001633;PURINOL;M04AA01
0001656;DIPHERELINE S.R.;L02AE04
0001673;DEXAMED;H02AB02
0001674;JOX;R02AA15
0001677;PIRAMIL;C09AA05
0001699;FLONIDAN;R06AX13
0001710;MILURIT;M04AA01
0001711;MILURIT;M04AA01
0001732;XENETIX;V08AB11
0001733;XENETIX;V08AB11
0001734;XENETIX;V08AB11
0001735;XENETIX;V08AB11
0001736;XENETIX;V08AB11
0001737;XENETIX;V08AB11
0001738;XENETIX;V08AB11
0001739;XENETIX;V08AB11
0001740;XENETIX;V08AB11
0001741;XENETIX;V08AB11
0001742;XENETIX;V08AB11
0001743;XENETIX;V08AB11
0001744;XENETIX;V08AB11
0001745;XENETIX;V08AB11
0001770;LUTEINUM;V12
0001772;OMEGAVEN;B05BA02
0001813;PIRAMIL;C09AA05
0001823;PIRAMIL;C09AA05
0001829;PIRAMIL;C09AA05
0001849;PIRAMIL;C09AA05
0001855;PIRAMIL;C09AA05
0001881;PENBENE;J01CE02
0001888;PIRAMIL;C09AA05
0001906;PIRAMIL;C09AA05
0001907;PIRAMIL;C09AA05
0001908;PIRAMIL;C09AA05
0001914;PIRAMIL;C09AA05
0001918;DIABETAN;V11
0001923;PIRAMIL;C09AA05
0001927;MEDOSTATIN;C10AA02
0001928;PIRAMIL;C09AA05
0001929;MEDOSTATIN;C10AA02
0001932;MEDOSTATIN;C10AA02
0001933;FLUDARABINE TEVA;L01BB05
0001940;OXAZEPAM LÉČIVA;N05BA04
0001941;PIRAMIL;C09AA05
0001942;PIRAMIL;C09AA05
0001945;PIRAMIL;C09AA05
0001953;PIRAMIL;C09AA05
0001963;PIRAMIL;C09AA05
0002012;PIRAMIL;C09AA05
0002022;PIRAMIL;C09AA05
0002026;PIRAMIL;C09AA05
0002060;PIRAMIL;C09AA05
0002062;PIRAMIL;C09AA05
0002132;CARDILAN;B05XA30
0002141;STOMARAN;V11
0002146;DICLOFENAC AL RETARD;M01AB05
0002181;AULIN;M01AX17
0002223;PULMORAN;V11
0002289;PROSTIN E2;G02AD02
0002427;ENTIZOL;P01AB01
0002429;TISERCIN;N05AA02
0002430;ENTIZOL;G01AF01
0002479;DITHIADEN;R06AX
0002486;KALIUM CHLORATUM LÉČIVA;B05XA01
0002529;AETHOXYSKLEROL;C05BB02
0002537;HALOPERIDOL-RICHTER;N05AD01
0002538;HALOPERIDOL-RICHTER;N05AD01
0002539;HALOPERIDOL-RICHTER;N05AD01
0002592;MILURIT;M04AA01
0002668;OPHTHALMO-HYDROCORTISON LÉČIVA;S01BA02
0002679;BERODUAL N;R03AL01
0002684;MESOCAIN;N01BB
0002710;ATENOLOL AL;C07AB03
0002715;DOLSIN;N02AB02
0002716;DOLSIN;N02AB02
0002720;ATENOLOL AL;C07AB03
0002828;TRIAMCINOLON LÉČIVA;D07AB09
0002829;TRIAMCINOLON LÉČIVA;D07AB09
0002839;EXTRANEAL;B05DA
0002840;EXTRANEAL;B05DA
0002841;EXTRANEAL;B05DA
0002868;PERITOL;R06AX02
0002871;VIREGYT-K;N04BB01
0002917;MULTIHANCE;V08CA08
0002918;MULTIHANCE;V08CA08
0002919;MULTIHANCE;V08CA08
0002920;MULTIHANCE;V08CA08
0002926;LETIZEN;R06AE07
0002927;LETIZEN;R06AE07
0002944;AGEN;C08CA01
0002945;AGEN;C08CA01
0002949;ATENOLOL AL;C07AB03
0002950;ATENOLOL AL;C07AB03
0002951;ATENOLOL AL;C07AB03
0002953;AGEN;C08CA01
0002954;AGEN;C08CA01
0002963;PREDNISON LÉČIVA;H02AB07
0003033;CORDIPIN XL;C08CA05
0003063;ZOXON;C02CA04
0003128;STOPANGIN;R02AA20
0003280;LAC CANINUM;V12
0003281;LAC CANINUM;V12
0003282;LAC CANINUM;V12
0003283;EUGENIA JAMBOSA;V12
0003284;EUGENIA JAMBOSA;V12
0003285;EUGENIA JAMBOSA;V12
0003290;NUTRIFLEX PERI;B05BA10
0003293;THUYA OCCIDENTALIS;V12
0003294;THUYA OCCIDENTALIS;V12
0003303;NIDRAZID;J04AC01
0003325;MERCURIUS SOLUBILIS;V12
0003334;POLLEN DE GRAMINEES;V12
0003335;POLLEN DE GRAMINEES;V12
0003336;POLLEN DE GRAMINEES;V12
0003414;NUTRIFLEX PERI;B05BA10
0003416;NUTRIFLEX BASAL;B05BA10
0003513;NUTRIFLEX BASAL;B05BA10
0003542;DIGOXIN LÉČIVA;C01AA05
0003550;VEROSPIRON;C03DA01
0003591;NAKOM;N04BA02
0003623;NUTRIFLEX PLUS;B05BA10
0003645;DIMEXOL;N05BX01
0003648;REMESTYP;H01BA04
0003707;ZYVOXID;J01XX08
0003708;ZYVOXID;J01XX08
0003902;ZYVOXID;J01XX08
0003904;ZYVOXID;J01XX08
0003906;ZYVOXID;J01XX08
0003925;AMINOVEN 5%;B05BA01
0003926;AMINOVEN 5%;B05BA01
0003930;AMINOVEN 10%;B05BA01
0003933;AMINOVEN 10%;B05BA01
0003972;AMINOVEN 15%;B05BA01
0003973;AMINOVEN 15%;B05BA01
0003974;AMINOVEN 15%;B05BA01
0003997;CARDILOPIN;C08CA01
0003998;CARDILOPIN;C08CA01
0003999;CARDILOPIN;C08CA01
0004013;DOXYBENE;J01AA02
0004014;DOXYBENE;J01AA02
0004062;CAVINTON;N06BX18
0004063;CAVINTON;N06BX18
0004071;DITHIADEN;R06AX
0004093;MESULID;M01AX17
0004097;MESULID;M01AX17
0004108;MESULID;M01AX17
0004112;MESULID;M01AX17
0004156;GELARGIN;D07AC04
0004160;TRIAMCINOLON S LÉČIVA;D07XB02
0004178;TRIAMCINOLON E LÉČIVA;D07BB03
0004188;SUPRANE;N01AB07
0004207;PROTHIADEN;N06AA16
0004212;DITUSTAT;R05DB19
0004234;DALACIN C;J01FF01
0004304;SULFASALAZIN K-EN;A07EC01
0004307;NITRO POHL;C01DA02
0004336;CILKANOL;C05CA04
0004364;ALVISAN NEO;V11
0004380;TENSAMIN;C01CA04
0005113;TARGOCID;J01XA02
0005441;ZODAC;R06AE07
0005476;ZODAC;R06AE07
0005496;ZODAC;R06AE07
0005499;ZODAC;R06AE07
0005592;POLLEN DE GRAMINEES;V12
0005594;EUGENIA JAMBOSA;V12
0005628;LAC CANINUM;V12
0005782;TRITACE;C09AA05
0005844;ACC;R05CB01
0005845;ACC;R05CB01
0005853;ACC;R05CB01
0005924;NAVELBINE ORAL;L01CA04
0005925;NAVELBINE ORAL;L01CA04
0005928;MESULID;M01AX17
0005929;MESULID;M01AX17
0005931;MESULID;M01AX17
0005932;MESULID;M01AX17
0005935;OXYCONTIN;N02AA05
0005937;OXYCONTIN;N02AA05
0005939;OXYCONTIN;N02AA05
0005941;OXYCONTIN;N02AA05
0005950;AMOKSIKLAV 1 G;J01CR02
0005951;AMOKSIKLAV 1 G;J01CR02
