"rok,""pohlavi"",""vek_kod"",""kraj_bydliste"",""okres_bydliste"",""prevalence_hypertenze"""
"2011,1,66000004,""CZ010"",""CZ0100"",6"
"2011,1,66000004,""CZ020"",""CZ0201"",0"
"2011,1,66000004,""CZ020"",""CZ0202"",0"
"2011,1,66000004,""CZ020"",""CZ0203"",0"
"2011,1,66000004,""CZ020"",""CZ0204"",1"
"2011,1,66000004,""CZ020"",""CZ0205"",0"
"2011,1,66000004,""CZ020"",""CZ0206"",1"
"2011,1,66000004,""CZ020"",""CZ0207"",0"
"2011,1,66000004,""CZ020"",""CZ0208"",1"
"2011,1,66000004,""CZ020"",""CZ0209"",1"
"2011,1,66000004,""CZ020"",""CZ020A"",0"
"2011,1,66000004,""CZ020"",""CZ020B"",0"
"2011,1,66000004,""CZ020"",""CZ020C"",0"
"2011,1,66000004,""CZ031"",""CZ0311"",0"
"2011,1,66000004,""CZ031"",""CZ0312"",0"
"2011,1,66000004,""CZ031"",""CZ0313"",0"
"2011,1,66000004,""CZ031"",""CZ0314"",0"
"2011,1,66000004,""CZ031"",""CZ0315"",0"
"2011,1,66000004,""CZ031"",""CZ0316"",0"
"2011,1,66000004,""CZ031"",""CZ0317"",0"
"2011,1,66000004,""CZ032"",""CZ0321"",0"
"2011,1,66000004,""CZ032"",""CZ0322"",0"
"2011,1,66000004,""CZ032"",""CZ0323"",0"
"2011,1,66000004,""CZ032"",""CZ0324"",0"
"2011,1,66000004,""CZ032"",""CZ0325"",1"
"2011,1,66000004,""CZ032"",""CZ0326"",0"
"2011,1,66000004,""CZ032"",""CZ0327"",0"
"2011,1,66000004,""CZ041"",""CZ0411"",0"
"2011,1,66000004,""CZ041"",""CZ0412"",0"
"2011,1,66000004,""CZ041"",""CZ0413"",0"
"2011,1,66000004,""CZ042"",""CZ0421"",1"
"2011,1,66000004,""CZ042"",""CZ0422"",1"
"2011,1,66000004,""CZ042"",""CZ0423"",1"
"2011,1,66000004,""CZ042"",""CZ0424"",1"
"2011,1,66000004,""CZ042"",""CZ0425"",1"
"2011,1,66000004,""CZ042"",""CZ0426"",0"
"2011,1,66000004,""CZ042"",""CZ0427"",0"
"2011,1,66000004,""CZ051"",""CZ0511"",0"
"2011,1,66000004,""CZ051"",""CZ0512"",0"
"2011,1,66000004,""CZ051"",""CZ0513"",1"
"2011,1,66000004,""CZ051"",""CZ0514"",0"
"2011,1,66000004,""CZ052"",""CZ0521"",0"
