"ROK","MESIC","KOD_SUKL","atc_who","atc_skupina","celkem_predepsano","celkem_vydano"
"2019","1","101197",C09AA04,C09,6,0
"2019","1","101205",C09AA04,C09,50138,21002
"2019","1","101207",C09AA04,C09,6,0
"2019","1","101211",C09AA04,C09,82766,95214.68
"2019","1","101213",C09AA04,C09,2,0
"2019","1","101215",C09AA04,C09,8,0
"2019","1","101217",C09AA04,C09,2,0
"2019","1","101227",C09AA04,C09,7402,2322
"2019","1","101233",C09AA04,C09,20734,23112
"2019","1","101235",C09AA04,C09,2,0
"2019","1","1017",C02AC05,C02,6086,8288
"2019","1","102382",C09DA01,C09,9374,9732
"2019","1","102384",C09DA01,C09,2,0
"2019","1","104546",C09AA04,C09,566,188
"2019","1","104712",C09DA01,C09,11594,12758
"2019","1","104713",C09DA01,C09,2,0
"2019","1","104720",C09BA05,C09,6,0
"2019","1","104950",C09CA01,C09,4,0
"2019","1","10604",C09CA01,C09,14734,13466
"2019","1","10680",C07AG02,C07,11720,10128
"2019","1","10682",C07AG02,C07,11388,9568
"2019","1","107166",C09CA01,C09,8330,7342
"2019","1","107169",C09CA01,C09,4,0
"2019","1","107173",C09CA01,C09,7570,6920
"2019","1","107176",C09CA01,C09,2,0
"2019","1","107794",C02CA04,C02,6772,6712
"2019","1","107795",C02CA04,C02,2,0
"2019","1","11006",C09AA03,C09,4362,4436
"2019","1","110654",C09AA04,C09,2546,2194
"2019","1","110658",C09AA04,C09,4,0
"2019","1","110714",C09AA04,C09,1096,388
"2019","1","110718",C09AA04,C09,4,0
"2019","1","110719",C09AA04,C09,2668,1996
"2019","1","111898",C08CA08,C08,2706,1624
"2019","1","111900",C08CA08,C08,6114,6258
"2019","1","111902",C08CA08,C08,2842,1206
"2019","1","111904",C08CA08,C08,7818,6544
"2019","1","112570",C07AB12,C07,236,0
"2019","1","112571",C07AB12,C07,10,0
"2019","1","112572",C07AB12,C07,17546,28972
"2019","1","112573",C07AB12,C07,4,0
"2019","1","112579",C07AB12,C07,6316,10546
"2019","1","112584",C07AB12,C07,76,0
"2019","1","112586",C07AB12,C07,9396,1380
"2019","1","114059",C09CA01,C09,10288,9418
"2019","1","114061",C09CA01,C09,4,0
"2019","1","114065",C09CA01,C09,12560,11728
"2019","1","114066",C09CA01,C09,2,0
"2019","1","114067",C09CA01,C09,37584,47032
"2019","1","114068",C09CA01,C09,1790,2740
"2019","1","114070",C09CA01,C09,5096,6794
"2019","1","114881",C09AA08,C09,1078,1758
"2019","1","114888",C09AA08,C09,952,182
"2019","1","116441",C03CA01,C03,2,2
"2019","1","119991",C09AA05,C09,4,0
"2019","1","120263",C07BB12,C07,32,0
"2019","1","120266",C07BB12,C07,4,0
"2019","1","120325",C03BA11,C03,10296,5962
"2019","1","120328",C03BA11,C03,10,0
"2019","1","120329",C03BA11,C03,14026,10710
"2019","1","122681",C09BA04,C09,6,0
"2019","1","122682",C09BA04,C09,2,0
"2019","1","122684",C09BA04,C09,2,0
"2019","1","122685",C09BA04,C09,23504,6656
"2019","1","122689",C09BA04,C09,8,0
"2019","1","122690",C09BA04,C09,54466,54680
"2019","1","124087",C09BB04,C09,11996,5316
"2019","1","124088",C09BB04,C09,1266,0
"2019","1","124090",C09BB04,C09,6,0
"2019","1","124091",C09BB04,C09,12232,12338
"2019","1","124092",C09BB04,C09,3878,0
"2019","1","124093",C09BB04,C09,14206,16761.0
"2019","1","124101",C09BB04,C09,1494,424
"2019","1","124102",C09BB04,C09,128,0
